Κινήσεις Κάρτας;;;;;
Αριθμός κάρτας;****	;;;;
Φιλική ονομασία κάρτας;****	;;;;
Ημερομηνία;31/10/2024 00:00;;;;
Αποτελέσματα αναζήτησης;Από;01/01/2024;Έως;31/10/2024;
;;;;;;
Ημ/νία συναλλαγής;Αιτιολογία;Κατηγορία δαπάνης;Είδος συναλλαγής;Ποσό (EUR);Κατάσταση συναλλαγής
30/10/2024 00:00;**********;Αφορά ηλεκτρονικές μεταφορές/πληρωμές;Αφορά ηλεκτρονικές μεταφορές/πληρωμές;-97,79;Εκτελεσμένη
29/10/2024 00:00;**********;Εστίαση / Ταξίδια / Ψυχαγωγία;Εστίαση / Ταξίδια / Ψυχαγωγία;-155,52;Εκτελεσμένη
28/10/2024 00:00;**********;Είδη Σπιτιού / Πολυκαταστήματα;Είδη Σπιτιού / Πολυκαταστήματα;-206,51;Εκτελεσμένη
21/10/2024 00:00;**********;Τηλεπικοινωνίες;Τηλεπικοινωνίες;-13,91;Εκτελεσμένη
17/10/2024 00:00;**********;Ιατρικές/Φαρμακευτικές δαπάνες;Ιατρικές/Φαρμακευτικές δαπάνες;-114,82;Εκτελεσμένη
15/10/2024 00:00;**********;Τηλεπικοινωνίες;Τηλεπικοινωνίες;-34,87;Εκτελεσμένη
13/10/2024 00:00;**********;Ιατρικές/Φαρμακευτικές δαπάνες;Ιατρικές/Φαρμακευτικές δαπάνες;-145,07;Εκτελεσμένη
13/10/2024 00:00;**********;Ιατρικές/Φαρμακευτικές δαπάνες;Ιατρικές/Φαρμακευτικές δαπάνες;-125,05;Εκτελεσμένη
12/10/2024 00:00;**********;Ένδυση / Υπόδηση;Ένδυση / Υπόδηση;-185,61;Εκτελεσμένη
12/10/2024 00:00;**********;Ένδυση / Υπόδηση;Ένδυση / Υπόδηση;-160,88;Εκτελεσμένη
08/10/2024 00:00;**********;Λοιπές δαπάνες και πληρωμές;Λοιπές δαπάνες και πληρωμές;-38,33;Εκτελεσμένη
05/10/2024 00:00;**********;Supermarket / Διατροφή;Supermarket / Διατροφή;-209,33;Εκτελεσμένη
03/10/2024 00:00;**********;Ιατρικές/Φαρμακευτικές δαπάνες;Ιατρικές/Φαρμακευτικές δαπάνες;-203,20;Εκτελεσμένη
30/09/2024 00:00;**********;Τηλεπικοινωνίες;Τηλεπικοινωνίες;-109,68;Εκτελεσμένη
28/09/2024 00:00;**********;Ιατρικές/Φαρμακευτικές δαπάνες;Ιατρικές/Φαρμακευτικές δαπάνες;-176,27;Εκτελεσμένη
27/09/2024 00:00;**********;Supermarket / Διατροφή;Supermarket / Διατροφή;-152,50;Εκτελεσμένη
24/09/2024 00:00;**********;Τηλεπικοινωνίες;Τηλεπικοινωνίες;-197,58;Εκτελεσμένη
24/09/2024 00:00;**********;Λοιπές δαπάνες και πληρωμές;Λοιπές δαπάνες και πληρωμές;-145,59;Εκτελεσμένη
23/09/2024 00:00;**********;Τηλεπικοινωνίες;Τηλεπικοινωνίες;-26,75;Εκτελεσμένη
